title,price,engine,transmission,drivetrain,mileage,location
Used 2017 JEEP GRAND CHEROKEE LIMITED EDITION,"$18,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"4,834 miles","LittleFalls,NJ(50mi)"
Used 2007 TOYOTA RAV4 BASE,"$18,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"142,188 miles","JerseyCity,NJ(2mi)"
Used 2015 JEEP GRAND CHEROKEE LAREDO,"$42,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"35,297 miles","Wall,NJ(37mi)"
Used 2012 CHEVROLET CAPTIVA SPORT LTZ,"$42,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"135,482 miles","JerseyCity,NJ(1mi)"
Used 2016 MAZDA CX-5 TOURING,"$26,654 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,907 miles","LittleFalls,NJ(50mi)"
Used 2016 TOYOTA RAV4 LE,"$26,654 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"41,467 miles","Totowa,NJ(15mi)"
Used 2015 TOYOTA HIGHLANDER LE PLUS,"$34,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"28,294 miles","Springfield,NJ(15mi)"
Used 2014 LAND ROVER RANGE ROVER SPORT HSE,"$34,991 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"67,392 miles","Parsippany,NJ(18mi)"
Used 2014 JEEP COMPASS LATITUDE,"$6,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"28,006 miles","Bath,PA(71mi)"
Certified 2014 HONDA PILOT EX,"$23,480 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"38,925 miles","Edison,NJ(25mi)"
Certified 2017 VOLKSWAGEN TIGUAN S,"$23,480 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"9,081 miles","Bernardsville,NJ(28mi)"
Used 2016 MITSUBISHI OUTLANDER SPORT GT,"$19,782 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"18,294 miles","Totowa,NJ(15mi)"
Used 2006 JEEP GRAND CHEROKEE LAREDO,"$19,782 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"127,207 miles","Bloomfield,NJ(9mi)"
Used 2011 BMW X5 XDRIVE35I PREMIUM,"$21,496 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"112,127 miles","HamiltonSquare,NJ(49mi)"
Certified 2016 VOLKSWAGEN TOUAREG SPORT,"$21,496 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"12,884 miles","Bernardsville,NJ(28mi)"
Certified 2015 FORD EXPLORER XLT,"$8,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"50,910 miles","Mendham,NJ(29mi)"
Certified 2012 HONDA PILOT EXL,"$8,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"52,890 miles","WestCaldwell,NJ(16mi)"
Certified 2015 LEXUS GX 460 BASE,"$14,933 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"17,962 miles","Englewood,NJ(11mi)"
Certified 2015 BMW X5 XDRIVE35I,"$14,933 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"44,093 miles","Morristown,NJ(23mi)"
Used 2015 JEEP WRANGLER UNLIMITED SPORT,"$33,483 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"35,678 miles","Bernardsville,NJ(28mi)"
Certified 2017 VOLKSWAGEN TIGUAN S,"$33,483 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"12,387 miles","Bernardsville,NJ(28mi)"
Used 2014 JEEP PATRIOT LATITUDE,"$26,239 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"36,160 miles","Edison,NJ(25mi)"
Used 2014 JEEP GRAND CHEROKEE LIMITED EDITION,"$26,239 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"35,395 miles","Edison,NJ(25mi)"
Used 2011 HONDA ACCORD CROSSTOUR EXL,"$23,945 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"58,133 miles","JerseyCity,NJ(2mi)"
Certified 2014 HONDA CR-V LX,"$18,046 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"17,977 miles","WestCaldwell,NJ(16mi)"
Used 2015 MAZDA CX-5 GRAND TOURING,"$18,046 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"27,702 miles","Wall,NJ(37mi)"
Used 2016 BMW X5 XDRIVE40E,"$18,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"28,280 miles","Morristown,NJ(23mi)"
Used 2010 LEXUS RX 350,"$18,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"53,827 miles","Englewood,NJ(11mi)"
Used 2016 INFINITI QX60,"$51,678 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"8,255 miles","Wall,NJ(37mi)"
Used 2015 SUBARU FORESTER 2.5I PREMIUM,"$51,678 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"57,184 miles","Parsippany,NJ(23mi)"
Used 2013 BMW X5 XDRIVE35I,"$18,491 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"46,566 miles","HamiltonSquare,NJ(49mi)"
Used 2012 MERCEDES-BENZ GL-CLASS GL 450 4MATIC,"$18,491 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"91,758 miles","Linden,NJ(14mi)"
Used 2015 JEEP GRAND CHEROKEE LIMITED EDITION,"$37,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"34,210 miles","LittleFalls,NJ(50mi)"
Used 2014 JEEP PATRIOT LATITUDE,"$37,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"23,103 miles","Bath,PA(71mi)"
Used 2015 JEEP GRAND CHEROKEE OVERLAND,"$18,999 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"10,905 miles","LittleFalls,NJ(50mi)"
Used 2014 TOYOTA HIGHLANDER XLE,"$18,999 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"18,474 miles","Englewood,NJ(11mi)"
Used 2015 VOLKSWAGEN TIGUAN SE,"$29,933 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"39,609 miles","Wall,NJ(37mi)"
Used 2015 JEEP GRAND CHEROKEE LIMITED EDITION,"$29,933 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"34,834 miles","Springfield,NJ(15mi)"
Used 2016 JEEP PATRIOT LATITUDE,"$21,990 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"37,815 miles","Edison,NJ(25mi)"
Certified 2015 HYUNDAI TUCSON SE,"$18,980 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"27,742 miles","Bloomfield,NJ(9mi)"
Used 2015 DODGE DURANGO R/T,"$18,980 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"17,628 miles","Bath,PA(71mi)"
Used 2014 JEEP WRANGLER UNLIMITED SAHARA,"$36,700 ",Engine6 Cyl,TransmissionN/A,Drivetrain4WD,"78,235 miles","Englewood,NJ(11mi)"
Certified 2015 FORD EXPLORER SPORT,"$36,700 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"50,550 miles","Mendham,NJ(29mi)"
Used 2011 HONDA CR-V EX,"$27,596 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"61,736 miles","WestCaldwell,NJ(16mi)"
Used 2014 FORD ESCAPE SE,"$27,596 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"25,678 miles","WestCaldwell,NJ(16mi)"
Used 2016 AUDI Q3 PREMIUM PLUS,"$31,266 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,957 miles","Parsippany,NJ(18mi)"
Certified 2017 BMW X1 XDRIVE28I,"$31,266 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"5,779 miles","Edison,NJ(25mi)"
Used 2015 TOYOTA RAV4 LIMITED EDITION,"$13,913 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"63,960 miles","Newton,NJ(43mi)"
Used 2014 BMW X5 XDRIVE35I,"$13,913 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"36,033 miles","Morristown,NJ(23mi)"
Certified 2016 VOLKSWAGEN TIGUAN SE,"$17,662 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"17,962 miles","Bernardsville,NJ(28mi)"
Used 2015 JEEP CHEROKEE LATITUDE,"$17,662 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"38,621 miles","Bath,PA(71mi)"
Certified 2016 LEXUS RX 350 BASE,"$28,750 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"25,986 miles","Englewood,NJ(11mi)"
Certified 2015 BMW X3 XDRIVE28I,"$28,750 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,028 miles","Morristown,NJ(23mi)"
Used 2015 JEEP GRAND CHEROKEE OVERLAND,"$33,999 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"33,727 miles","LittleFalls,NJ(50mi)"
Used 2015 ACURA MDX TECHNOLOGY,"$34,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"29,625 miles","Newton,NJ(43mi)"
Used 2013 TOYOTA 4RUNNER LIMITED EDITION,"$34,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"49,353 miles","Springfield,NJ(15mi)"
Used 2014 JEEP GRAND CHEROKEE LIMITED EDITION,"$32,992 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"32,281 miles","LittleFalls,NJ(50mi)"
Used 2015 VOLVO XC60 T5 PREMIER PLUS,"$32,992 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"31,131 miles","Wall,NJ(37mi)"
Certified 2014 HONDA CR-V EXL,"$26,991 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"43,531 miles","Edison,NJ(25mi)"
Used 2014 NISSAN MURANO SL,"$26,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"28,561 miles","Totowa,NJ(15mi)"
Used 2013 LEXUS GX 460,"$22,995 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"40,788 miles","Englewood,NJ(11mi)"
Used 2017 INFINITI QX70,"$22,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"23,895 miles","Springfield,NJ(15mi)"
Used 2011 LEXUS RX 350 BASE,"$19,880 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"61,180 miles","Englewood,NJ(11mi)"
Used 2017 JEEP CHEROKEE LATITUDE,"$19,880 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"20,383 miles","Bath,PA(71mi)"
Certified 2015 LEXUS GX 460 BASE,"$20,891 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"49,709 miles","Englewood,NJ(11mi)"
Used 2012 TOYOTA HIGHLANDER,"$20,891 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"81,321 miles","Bridgewater,NJ(32mi)"
Used 2012 JEEP GRAND CHEROKEE LAREDO,"$33,698 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"81,575 miles","LittleFalls,NJ(50mi)"
Used 2011 CHEVROLET SUBURBAN 1500 LT,"$33,698 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"92,920 miles","Wall,NJ(37mi)"
Used 2014 NISSAN PATHFINDER S,"$32,992 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"68,595 miles","Totowa,NJ(15mi)"
Used 2010 NISSAN XTERRA S,"$13,980 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"107,729 miles","Bloomfield,NJ(9mi)"
Used 2015 JEEP CHEROKEE LATITUDE,"$13,980 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"29,259 miles","Springfield,NJ(15mi)"
Used 2014 TOYOTA HIGHLANDER XLE,"$21,492 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"65,165 miles","Springfield,NJ(15mi)"
Certified 2016 LEXUS GX 460,"$21,492 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"19,502 miles","Englewood,NJ(11mi)"
Used 2014 NISSAN ROGUE S,"$26,992 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,693 miles","Edison,NJ(25mi)"
Certified 2016 ACURA MDX,"$26,992 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"38,801 miles","Wayne,NJ(14mi)"
Certified 2014 VOLKSWAGEN TIGUAN SE W/APPEARANCE,"$46,095 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"29,461 miles","Bernardsville,NJ(28mi)"
Certified 2014 LEXUS GX 460,"$46,095 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"34,926 miles","Englewood,NJ(11mi)"
Used 2014 LAND ROVER LR2,"$14,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"49,286 miles","Edison,NJ(25mi)"
Certified 2015 BMW X5 XDRIVE35I,"$14,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"49,315 miles","Kenvil,NJ(33mi)"
Certified 2016 VOLKSWAGEN TIGUAN S,"$32,470 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,144 miles","Bernardsville,NJ(28mi)"
Used 2014 BMW X5 XDRIVE35I,"$32,470 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"37,291 miles","Newton,NJ(43mi)"
Used 2017 DODGE JOURNEY SE,"$19,485 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"13,065 miles","LittleFalls,NJ(50mi)"
Used 2015 FORD EXPLORER LIMITED EDITION,"$19,485 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"41,906 miles","Springfield,NJ(15mi)"
Used 2011 HONDA CR-V EXL,"$37,595 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"28,424 miles","WestCaldwell,NJ(16mi)"
Used 2017 BMW X1 XDRIVE28I,"$37,988 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"4,624 miles","Wayne,NJ(18mi)"
Certified 2013 HONDA CR-V EXL,"$37,988 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"38,384 miles","WestCaldwell,NJ(16mi)"
Used 2012 MERCEDES-BENZ M-CLASS ML 350 4MATIC,"$19,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"62,871 miles","Edison,NJ(25mi)"
Used 2014 INFINITI QX60,"$19,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"51,781 miles","Wall,NJ(37mi)"
Used 2014 HONDA CR-V EX,"$26,895 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"41,240 miles","Edison,NJ(25mi)"
Used 2015 KIA SORENTO LX,"$26,895 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"13,549 miles","HamiltonSquare,NJ(49mi)"
Used 2014 MERCEDES-BENZ M-CLASS ML 350 4MATIC,"$24,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"57,715 miles","MountainLakes,NJ(24mi)"
Certified 2014 HONDA CR-V LX,"$24,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"34,010 miles","WestCaldwell,NJ(16mi)"
Used 2016 TOYOTA 4RUNNER SR5,"$18,480 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"35,746 miles","Bridgewater,NJ(32mi)"
Used 2013 NISSAN PATHFINDER SV,"$18,480 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"56,842 miles","Linden,NJ(14mi)"
Certified 2015 HONDA CR-V LX,"$14,933 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,642 miles","Hamilton,NJ(50mi)"
Certified 2015 BMW X5 XDRIVE35I,"$14,933 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,823 miles","Wayne,NJ(18mi)"
Certified 2014 HONDA CR-V EXL,"$26,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"43,051 miles","Edison,NJ(25mi)"
Used 2011 KIA SPORTAGE LX,"$26,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"61,693 miles","Edison,NJ(25mi)"
Certified 2014 HONDA CR-V EXL,"$17,218 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"22,729 miles","WestCaldwell,NJ(16mi)"
Used 2017 BMW X1 XDRIVE28I,"$39,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"6,581 miles","Newton,NJ(43mi)"
Certified 2016 HONDA PILOT EXL,"$39,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"13,839 miles","WestCaldwell,NJ(16mi)"
Certified 2014 HONDA CR-V LX,"$34,913 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"50,560 miles","WestCaldwell,NJ(16mi)"
Certified 2013 TOYOTA RAV4 LE,"$34,913 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"42,393 miles","WoodRidge,NJ(7mi)"
Certified 2015 ACURA MDX,"$15,356 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"34,558 miles","Verona,NJ(12mi)"
Used 2014 JEEP PATRIOT LATITUDE,"$15,356 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"39,995 miles","Bath,PA(71mi)"
Used 2016 LEXUS NX 200T,"$15,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"18,978 miles","Englewood,NJ(11mi)"
Used 2017 MAZDA CX-3 TOURING,"$15,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"6,334 miles","Wayne,NJ(18mi)"
Certified 2015 LEXUS NX 200T F SPORT,"$32,800 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"23,516 miles","Englewood,NJ(11mi)"
Certified 2015 HONDA PILOT EXL,"$32,800 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"32,059 miles","Edison,NJ(25mi)"
Used 2017 JEEP COMPASS SPORT,"$14,597 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"10,267 miles","Bath,PA(71mi)"
Used 2012 GMC ACADIA SL,"$14,597 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"55,005 miles","Springfield,NJ(15mi)"
Used 2011 AUDI Q5 PREMIUM PLUS,"$33,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"91,395 miles","Parsippany,NJ(18mi)"
